click_times:4637559 gross:198510000
click_times:2251301 gross:113400000
click_times:7870747 gross:205366737
click_times:145651 gross:2594878
click_times:2791463 gross:63327201
click_times:8070451 gross:191254738
click_times:313417 gross:25077977
click_times:8489200 gross:284139100
click_times:8041658 gross:128388320
click_times:3807763 gross:302836260
click_times:1810290 gross:66263898
click_times:2143793 gross:35626525
click_times:57597 gross:748363
click_times:752307 gross:24397469
click_times:11385473 gross:167977596
click_times:3116243 gross:196114570
click_times:13368705 gross:543113985
click_times:5031270 gross:104884188
click_times:2393389 gross:74952305
click_times:1253787 gross:35911689
click_times:36572822 gross:507916740
click_times:3544505 gross:188133322
click_times:3274417 gross:88058786
click_times:5488233 gross:85989748
click_times:75893 gross:2605039
click_times:3989531 gross:93820758
click_times:7402 gross:115504
click_times:3321780 gross:84790678
click_times:670434 gross:13650738
click_times:2576949 gross:131877449
click_times:3069795 gross:71009334
click_times:1887486 gross:101134059
click_times:1707489 gross:126069509
click_times:9966481 gross:217124280
click_times:4675329 gross:240360392
click_times:63731 gross:2475970
click_times:2682063 gross:63297114
click_times:1877758 gross:102820008
click_times:8296658 gross:161459297
click_times:1180134 gross:53676580
click_times:1902220 gross:43237465
click_times:12141006 gross:267281936
click_times:6818139 gross:244819862
click_times:15578638 gross:268157400
click_times:9210404 gross:126794610
click_times:6726086 gross:170432927
click_times:17292476 gross:624026776
click_times:82518 gross:5308553
click_times:20920793 gross:503015487
click_times:1363280 gross:107645357
click_times:11827015 gross:864912963
click_times:58895 gross:1269361
click_times:3038524 gross:276144750
click_times:6682106 gross:194564672
click_times:6935 gross:234422
click_times:37752 gross:1064277
click_times:6088061 gross:137328301
click_times:593574 gross:12495865
click_times:4324560 gross:312573423
click_times:351131 gross:7791146
click_times:3104899 gross:97009150
click_times:5114639 gross:271430189
click_times:6435161 gross:198467168
click_times:500880 gross:27550735
click_times:2207094 gross:92766958
click_times:3825894 gross:125537191
click_times:2433283 gross:233566407
click_times:6410018 gross:90565421
click_times:9523440 gross:559852396
click_times:7033416 gross:215863606
click_times:2450345 gross:165033701
click_times:3263116 gross:97594140
click_times:1593914 gross:47241945
click_times:11734762 gross:752100229
click_times:2076776 gross:177238796
click_times:6110253 gross:449400480
click_times:15373939 gross:359126022
click_times:2258152 gross:31554855
click_times:5227489 gross:100490208
click_times:679816 gross:46089287
click_times:3964662 gross:63543328
click_times:16718217 gross:243843127
click_times:2688327 gross:41573740
click_times:924915 gross:77112176
click_times:3862309 gross:179379533
click_times:713389 gross:54303319
click_times:3901788 gross:161025640
click_times:2806424 gross:44099145
click_times:5403044 gross:197687603
click_times:941973 gross:53774508
click_times:2201546 gross:156491279
click_times:1161108 gross:101162106
click_times:582693 gross:47536959
click_times:1687228 gross:87727807
click_times:1416956 gross:75590889
click_times:2379600 gross:49263404
click_times:325655 gross:13362308
click_times:2882036 gross:246233113
click_times:3970427 gross:77527732
click_times:875020 gross:26822144
click_times:5110688 gross:138224951
click_times:1270459 gross:19422261
click_times:4131180 gross:173965010
click_times:98196 gross:1361423
click_times:4624340 gross:73239258
click_times:114114 gross:3351230
click_times:4474724 gross:105929161
click_times:2508687 gross:160112671
click_times:4160234 gross:360345402
click_times:885986 gross:22842887
click_times:330528 gross:15045676
click_times:566750 gross:45582380
click_times:2971800 gross:55030051
click_times:1584899 gross:47034272
click_times:1994591 gross:32416109
click_times:5882446 gross:86648359
click_times:21566 gross:466702
click_times:1498800 gross:39187783
click_times:12713003 gross:386041607
click_times:6475939 gross:293503304
click_times:10444021 gross:153262184
click_times:2562666 gross:78309131
click_times:1112947 gross:59418613
click_times:51848 gross:1104633
click_times:636617 gross:13936909
click_times:2419732 gross:97143987
click_times:78354 gross:1187711
click_times:4842063 gross:159702194
click_times:612192 gross:22525921
click_times:579036 gross:45482936
click_times:4836280 gross:219788712
click_times:2415255 gross:73798720
click_times:132437 gross:1796024
click_times:2343047 gross:30687600
click_times:1377644 gross:59573085
click_times:1662078 gross:30212620
click_times:400807 gross:30800231
click_times:216576 gross:18439082
click_times:144306 gross:9190525
click_times:2459114 gross:75828267
click_times:4620923 gross:66787908
click_times:984268 gross:68572378
click_times:1407132 gross:69899892
click_times:608565 gross:34705850
click_times:586961 gross:28831145
click_times:7007766 gross:151831537
click_times:2209888 gross:62695489
click_times:3214721 gross:148075565
click_times:4616556 gross:195773538
click_times:1313163 gross:29355203
click_times:257287 gross:23225911
click_times:868919 gross:75700498
click_times:8176128 gross:370569774
click_times:551559 gross:20113965
click_times:3334604 gross:225917503
click_times:1552800 gross:20566327
click_times:92714 gross:1183354
click_times:4484563 gross:335154643
click_times:9443834 gross:232388000
click_times:4790718 gross:85512300
click_times:5822127 gross:149542245
click_times:1574037 gross:136267476
click_times:8017202 gross:135458097
click_times:14543931 gross:320014552
click_times:2192776 gross:100931865
click_times:519677 gross:40492759
click_times:1111366 gross:44907260
click_times:4706421 gross:106619139
click_times:3069284 gross:87145086
click_times:665429 gross:19484997
click_times:3684309 gross:92678948
click_times:357614 gross:6337659
click_times:1339171 gross:28573173
click_times:114757 gross:4168144
click_times:614880 gross:43035725
click_times:161746 gross:3519627
click_times:666247 gross:52685425
click_times:488455 gross:44093316
click_times:4231467 gross:100375432
click_times:1686811 gross:62675095
click_times:1250221 gross:48963137
click_times:1506986 gross:42739347
click_times:377549 gross:19721245
click_times:101651 gross:9430988
click_times:1287297 gross:48428063
click_times:1042566 gross:25277561
click_times:2983065 gross:44469602
click_times:129620 gross:6002708
click_times:5099573 gross:152930623
click_times:4242520 gross:152263880
click_times:373335 gross:7743923
click_times:3270452 gross:78099553
click_times:3769967 gross:78693371
click_times:21267 gross:960828
click_times:2968822 gross:100403051
click_times:417669 gross:35097815
click_times:441489 gross:26161406
click_times:1866739 gross:47088990
click_times:2378241 gross:34588412
click_times:902758 gross:76906030
click_times:2380306 gross:39462438
click_times:1776882 gross:43165571
click_times:2570861 gross:107588225
click_times:5702444 gross:100654149
click_times:3887045 gross:135511030
click_times:3119469 gross:52543632
click_times:399670 gross:10269307
click_times:8128945 gross:303712758
click_times:2670638 gross:36893721
click_times:902786 gross:23380979
click_times:3659872 gross:46221189
click_times:6283784 gross:90835030
click_times:5835861 gross:101332962
click_times:1201425 gross:65090821
click_times:2697296 gross:38390020
click_times:136609 gross:3247816
click_times:676537 gross:13987482
click_times:1281087 gross:16025394
click_times:156766 gross:6002756
click_times:323985 gross:17536788
click_times:135517 gross:4216789
click_times:2121886 gross:40828540
click_times:1474914 gross:33860010
click_times:2727295 gross:183293131
click_times:540272 gross:9138338
click_times:184325 gross:12784397
click_times:3280048 gross:70541159
click_times:713230 gross:17725711
click_times:4812817 gross:234758158
click_times:3424965 gross:61788393
click_times:320078 gross:21784432
click_times:6063347 gross:167805466
click_times:1237869 gross:31806100
click_times:6430606 gross:335441158
click_times:1206454 gross:57881056
click_times:818120 gross:37470591
click_times:1908792 gross:101344412
click_times:194153 gross:3606395
click_times:1035822 gross:16097842
click_times:1326768 gross:29467855
click_times:2438667 gross:112462508
click_times:606528 gross:15155772
click_times:1087762 gross:96070507
click_times:2081225 gross:27154426
click_times:890115 gross:13231461
click_times:6290892 gross:323436538
click_times:873104 gross:61402445
click_times:594941 gross:51155219
click_times:496970 gross:6350058
click_times:166292 gross:3665069
click_times:131867 gross:9128263
click_times:653166 gross:17231291
click_times:678469 gross:10324441
click_times:210973 gross:13100042
click_times:1301879 gross:21197315
click_times:185930 gross:7706394
click_times:1999578 gross:30910580
click_times:113083 gross:10164675
click_times:2936620 gross:43064566
click_times:1571267 gross:29703843
click_times:1709775 gross:74158913
click_times:321292 gross:9658370
click_times:1260309 gross:42246220
click_times:943687 gross:14393862
click_times:286240 gross:7425963
click_times:434565 gross:7017178
click_times:1072058 gross:15986272
click_times:2432666 gross:52528330
click_times:278725 gross:5550866
click_times:22401 gross:280343
click_times:3252 gross:92900
click_times:824680 gross:15000994
click_times:223853 gross:2848578
click_times:51645 gross:2817092
click_times:46705 gross:814906
click_times:45643 gross:940430
click_times:10492 gross:849915
click_times:93129 gross:3773863
click_times:4017 gross:346286
click_times:141629 gross:1830475
click_times:70531 gross:3310439
click_times:344105 gross:9123834
click_times:17227 gross:789752
click_times:534322 gross:14450540
click_times:132382 gross:2820939
click_times:726 gross:20915
click_times:14670 gross:302886
click_times:116325 gross:2859955
click_times:49138 gross:2428241
click_times:39879 gross:1889522
click_times:81946 gross:1355079
click_times:91420 gross:3847290
click_times:40567 gross:677577
click_times:648 gross:19188
click_times:3194 gross:50076
click_times:356 gross:7334
click_times:9623000 gross:222809600
click_times:3180687 gross:219108482
click_times:666514 gross:12574715
